gain_constant_case: kd_1
mean: 27.201693777963808
median: 27.305223468374695
standard_deviation: 1.4998149683019264
minimum: 24.36955451965332
maximum: 30.769747405872454
range: 6.400192886219134
midrange: 27.569650962762886
mode: 25.791852951049805
q1: 25.96332836151123
q3: 28.01095962524414
interquartile_range: 2.04763126373291
size: 980
