experiment: 2-straight-line-stops
mean: 20.001823242533842
median: 18.596086795995266
standard_deviation: 17.398261328427143
minimum: 6.571832656860352
maximum: 130.61709594726562
range: 124.04526329040527
midrange: 68.59446430206299
mode: 17.656917572021484
q1: 15.905655860900879
q3: 19.741260528564453
interquartile_range: 3.835604667663574
size: 64905
